Date,Product Name,Category,Quantity Sold,Price per Unit,Total Revenue,Cost Price per Unit
2024-01-30,Cetirizine,Medicine,5,375.04,1875.2,224.87
2024-11-10,Montelukast,Medicine,7,197.01,1379.07,289.86
2022-05-18,Face Mask,Hygiene,2,15.0,30.0,8.01
2023-12-24,Multivitamin,Wellness,5,50.0,250.0,34.63
2022-11-10,Multivitamin,Wellness,8,50.0,400.0,33.14
2022-06-26,Protein Powder,Wellness,3,500.0,1500.0,336.31
2023-07-18,Deodorant,Hygiene,1,200.0,200.0,126.23
2023-07-14,Sunscreen,Hygiene,9,150.0,1350.0,116.6
2022-05-25,Ibuprofen,Medicine,10,20.0,200.0,11.31
2022-08-02,Face Mask,Hygiene,9,15.0,135.0,10.5
2021-03-18,Cough Syrup,Medicine,5,80.0,400.0,48.2
2022-12-22,Sunscreen,Hygiene,3,150.0,450.0,101.72
2023-11-03,Protein Powder,Wellness,6,500.0,3000.0,325.97
2022-08-05,Paracetamol,Medicine,7,10.0,70.0,8.4
2021-01-17,Face Mask,Hygiene,4,15.0,60.0,12.2
2023-09-05,Protein Powder,Wellness,6,500.0,3000.0,288.05
2021-06-10,Face Mask,Hygiene,9,15.0,135.0,10.6
2021-08-14,Antacid,Medicine,6,25.0,150.0,20.61
2021-10-04,Protein Powder,Wellness,3,500.0,1500.0,265.61
2024-11-10,Erythromycin,Medicine,10,45.49,454.9,230.37
2024-07-29,Protein Powder,Wellness,3,114.35,343.04999999999995,141.55
2022-04-04,Multivitamin,Wellness,1,50.0,50.0,31.58
2023-09-30,Multivitamin,Wellness,6,50.0,300.0,30.89
2023-03-22,Multivitamin,Wellness,9,50.0,450.0,38.74
2022-11-10,Hand Sanitizer,Hygiene,1,100.0,100.0,70.45
2022-01-05,Face Mask,Hygiene,9,15.0,135.0,8.23
2022-05-17,Protein Powder,Wellness,10,500.0,5000.0,354.32
2021-06-16,Ibuprofen,Medicine,7,20.0,140.0,12.21
2021-03-25,Hand Sanitizer,Hygiene,8,100.0,800.0,65.95
2021-03-05,Protein Powder,Wellness,9,500.0,4500.0,352.99
2023-09-16,Multivitamin,Wellness,6,50.0,300.0,43.4
2021-03-02,Face Mask,Hygiene,8,15.0,120.0,12.74
2023-08-17,Cough Syrup,Medicine,7,80.0,560.0,56.01
2022-02-08,Paracetamol,Medicine,6,10.0,60.0,6.38
2023-11-17,Multivitamin,Wellness,8,50.0,400.0,35.55
2023-02-20,Ibuprofen,Medicine,7,20.0,140.0,14.9
2021-01-26,Paracetamol,Medicine,9,10.0,90.0,6.3
2023-05-01,Deodorant,Hygiene,10,200.0,2000.0,122.54
2022-05-25,Sunscreen,Hygiene,3,150.0,450.0,76.69
2023-07-26,Cough Syrup,Medicine,3,80.0,240.0,47.57
2022-07-23,Antacid,Medicine,2,25.0,50.0,22.11
2023-07-10,Multivitamin,Wellness,2,50.0,100.0,44.82
2021-06-24,Cough Syrup,Medicine,4,80.0,320.0,52.31
2021-05-18,Paracetamol,Medicine,8,10.0,80.0,7.34
2021-10-06,Deodorant,Hygiene,1,200.0,200.0,145.58
2022-05-23,Hand Sanitizer,Hygiene,10,100.0,1000.0,67.98
2024-05-08,Losartan,Medicine,6,405.07,2430.42,242.57
2023-09-18,Face Mask,Hygiene,2,15.0,30.0,7.65
2022-10-22,Multivitamin,Wellness,3,50.0,150.0,37.69
2021-06-05,Paracetamol,Medicine,1,10.0,10.0,7.11
2024-05-11,Deodorant,Hygiene,2,141.21,282.42,115.99
2023-02-22,Antacid,Medicine,4,25.0,100.0,15.85
2021-06-02,Cough Syrup,Medicine,3,80.0,240.0,44.1
2021-08-03,Paracetamol,Medicine,3,10.0,30.0,7.44
2021-10-19,Paracetamol,Medicine,6,10.0,60.0,7.7
2024-04-23,Sitagliptin,Medicine,2,113.65,227.3,183.22
2024-04-18,Losartan,Medicine,6,405.07,2430.42,242.57
2023-04-13,Antacid,Medicine,9,25.0,225.0,18.65
2023-05-17,Deodorant,Hygiene,6,200.0,1200.0,171.18
2022-05-14,Multivitamin,Wellness,2,50.0,100.0,27.94
2024-07-11,Atorvastatin,Medicine,2,208.92,417.84,133.07
2022-07-30,Face Mask,Hygiene,9,15.0,135.0,9.57
2021-07-31,Cough Syrup,Medicine,1,80.0,80.0,47.79
2024-02-23,Levothyroxine,Medicine,5,271.21,1356.05,97.91
2023-01-16,Sunscreen,Hygiene,7,150.0,1050.0,96.02
2022-08-02,Cough Syrup,Medicine,8,80.0,640.0,68.62
2023-03-26,Ibuprofen,Medicine,7,20.0,140.0,16.79
2024-10-27,Fluconazole,Medicine,6,386.74,2320.44,249.26
2024-06-27,Hand Sanitizer,Hygiene,8,109.07,872.56,64.49
2021-04-22,Antacid,Medicine,9,25.0,225.0,21.2
2021-03-19,Hand Sanitizer,Hygiene,8,100.0,800.0,51.57
2024-05-12,Multivitamin,Wellness,3,303.02,909.06,152.5
2023-11-17,Ibuprofen,Medicine,3,20.0,60.0,15.53
2024-07-13,Sitagliptin,Medicine,2,113.65,227.3,183.22
2021-06-16,Cough Syrup,Medicine,1,80.0,80.0,53.09
2021-04-09,Cough Syrup,Medicine,2,80.0,160.0,54.85
2022-03-27,Paracetamol,Medicine,3,10.0,30.0,5.95
2021-04-17,Deodorant,Hygiene,8,200.0,1600.0,157.62
2021-02-12,Antacid,Medicine,9,25.0,225.0,15.91
2021-01-29,Paracetamol,Medicine,5,10.0,50.0,7.88
2021-10-20,Paracetamol,Medicine,3,10.0,30.0,5.46
2022-06-15,Antacid,Medicine,8,25.0,200.0,16.45
2022-05-25,Sunscreen,Hygiene,9,150.0,1350.0,132.08
2022-01-25,Cough Syrup,Medicine,4,80.0,320.0,56.42
2021-12-23,Deodorant,Hygiene,10,200.0,2000.0,133.61
2022-02-17,Deodorant,Hygiene,1,200.0,200.0,149.88
2023-09-15,Multivitamin,Wellness,10,50.0,500.0,38.26
2024-10-19,Ibuprofen,Medicine,8,304.47,2435.76,53.87
2022-01-27,Protein Powder,Wellness,4,500.0,2000.0,302.23
2022-02-05,Cough Syrup,Medicine,1,80.0,80.0,62.12
2021-12-29,Paracetamol,Medicine,2,10.0,20.0,7.13
2022-01-07,Paracetamol,Medicine,10,10.0,100.0,5.8
2024-07-08,Erythromycin,Medicine,1,45.49,45.49,230.37
2024-12-13,Warfarin,Medicine,2,66.24,132.48,184.65
2024-11-16,Budesonide,Medicine,3,78.76,236.28000000000003,193.42
2022-12-19,Face Mask,Hygiene,10,15.0,150.0,8.21
2021-01-20,Hand Sanitizer,Hygiene,5,100.0,500.0,72.54
2022-12-30,Antacid,Medicine,6,25.0,150.0,21.22
2024-07-27,Sunscreen,Hygiene,9,176.57,1589.13,79.85
2022-11-03,Sunscreen,Hygiene,7,150.0,1050.0,80.29
2021-03-13,Multivitamin,Wellness,7,50.0,350.0,33.4
2023-02-14,Hand Sanitizer,Hygiene,10,100.0,1000.0,72.13
2022-05-22,Sunscreen,Hygiene,8,150.0,1200.0,105.35
2022-07-25,Multivitamin,Wellness,10,50.0,500.0,32.95
2021-12-18,Hand Sanitizer,Hygiene,7,100.0,700.0,70.15
2021-05-07,Ibuprofen,Medicine,9,20.0,180.0,17.15
2023-05-05,Paracetamol,Medicine,4,10.0,40.0,6.11
2024-12-11,Budesonide,Medicine,4,78.76,315.04,193.42
2023-10-06,Ibuprofen,Medicine,9,20.0,180.0,15.43
2022-11-03,Deodorant,Hygiene,2,200.0,400.0,135.4
2021-06-30,Ibuprofen,Medicine,5,20.0,100.0,12.2
2024-03-16,Montelukast,Medicine,8,197.01,1576.08,289.86
2023-05-09,Antacid,Medicine,6,25.0,150.0,17.3
2024-10-28,Antacid,Medicine,2,40.86,81.72,69.2
2024-06-15,Warfarin,Medicine,2,66.24,132.48,184.65
2022-01-26,Protein Powder,Wellness,6,500.0,3000.0,422.93
2022-03-09,Deodorant,Hygiene,4,200.0,800.0,147.03
2023-10-09,Face Mask,Hygiene,4,15.0,60.0,12.02
2021-07-20,Paracetamol,Medicine,6,10.0,60.0,5.68
2023-03-03,Cough Syrup,Medicine,6,80.0,480.0,60.89
2022-03-06,Face Mask,Hygiene,5,15.0,75.0,10.17
2021-04-16,Deodorant,Hygiene,1,200.0,200.0,164.66
2024-02-05,Ranitidine,Medicine,3,293.37,880.11,20.6
2021-12-16,Antacid,Medicine,3,25.0,75.0,14.76
2023-12-24,Cough Syrup,Medicine,10,80.0,800.0,56.95
2024-07-31,Erythromycin,Medicine,3,45.49,136.47,230.37
2022-05-19,Hand Sanitizer,Hygiene,3,100.0,300.0,65.2
2022-03-07,Antacid,Medicine,2,25.0,50.0,16.5
2024-12-25,Salbutamol,Medicine,5,369.3,1846.5,161.82
2023-08-16,Hand Sanitizer,Hygiene,4,100.0,400.0,68.35
2024-08-15,Cough Syrup,Medicine,5,199.94,999.7,240.66
2024-01-16,Ramipril,Medicine,6,36.78,220.68,228.73
2021-05-13,Ibuprofen,Medicine,1,20.0,20.0,12.02
2022-10-07,Antacid,Medicine,5,25.0,125.0,18.1
2023-05-05,Cough Syrup,Medicine,2,80.0,160.0,44.96
2022-09-23,Face Mask,Hygiene,8,15.0,120.0,8.09
2021-12-30,Paracetamol,Medicine,9,10.0,90.0,6.91
2022-01-27,Ibuprofen,Medicine,6,20.0,120.0,13.99
2022-06-03,Hand Sanitizer,Hygiene,10,100.0,1000.0,59.87
2023-10-26,Cough Syrup,Medicine,7,80.0,560.0,71.55
2021-10-11,Sunscreen,Hygiene,3,150.0,450.0,80.45
2022-12-08,Multivitamin,Wellness,3,50.0,150.0,43.86
2022-05-14,Protein Powder,Wellness,7,500.0,3500.0,423.84
2024-04-28,Warfarin,Medicine,7,66.24,463.68,184.65
2023-08-12,Cough Syrup,Medicine,10,80.0,800.0,62.63
2024-11-03,Fish Oil,Wellness,9,127.34,1146.06,29.83
2024-02-05,Prednisolone,Medicine,8,475.12,3800.96,196.15
2022-08-08,Deodorant,Hygiene,1,200.0,200.0,117.23
2024-05-26,Montelukast,Medicine,3,197.01,591.03,289.86
2021-06-24,Antacid,Medicine,2,25.0,50.0,21.35
2024-10-24,Cetirizine,Medicine,2,375.04,750.08,224.87
2022-06-21,Cough Syrup,Medicine,10,80.0,800.0,52.82
2024-12-18,Levothyroxine,Medicine,3,271.21,813.6299999999999,97.91
2021-05-27,Deodorant,Hygiene,10,200.0,2000.0,113.35
2024-05-14,Lisinopril,Medicine,4,401.93,1607.72,100.6
2021-12-15,Paracetamol,Medicine,9,10.0,90.0,6.24
2022-12-25,Antacid,Medicine,1,25.0,25.0,12.68
2022-08-17,Sunscreen,Hygiene,8,150.0,1200.0,132.4
2023-05-04,Protein Powder,Wellness,6,500.0,3000.0,434.93
2022-07-07,Hand Sanitizer,Hygiene,7,100.0,700.0,52.28
2022-09-26,Face Mask,Hygiene,3,15.0,45.0,7.95
2023-12-16,Face Mask,Hygiene,6,15.0,90.0,10.75
2023-09-06,Antacid,Medicine,4,25.0,100.0,16.52
2023-04-11,Face Mask,Hygiene,7,15.0,105.0,11.37
2024-12-22,Antacid,Medicine,4,40.86,163.44,69.2
2024-02-03,Toothpaste,Hygiene,9,81.02,729.18,249.98
2023-07-03,Sunscreen,Hygiene,7,150.0,1050.0,75.68
2021-06-18,Cough Syrup,Medicine,5,80.0,400.0,51.18
2021-01-14,Antacid,Medicine,8,25.0,200.0,13.46
2023-06-13,Multivitamin,Wellness,6,50.0,300.0,27.11
2023-03-22,Multivitamin,Wellness,1,50.0,50.0,38.66
2023-05-06,Deodorant,Hygiene,2,200.0,400.0,154.46
2023-06-19,Deodorant,Hygiene,2,200.0,400.0,123.25
2023-07-10,Face Mask,Hygiene,2,15.0,30.0,10.99
2024-12-29,Ranitidine,Medicine,3,293.37,880.11,20.6
2021-02-13,Multivitamin,Wellness,9,50.0,450.0,30.56
2022-09-23,Paracetamol,Medicine,9,10.0,90.0,8.06
2023-11-29,Protein Powder,Wellness,8,500.0,4000.0,302.54
2024-09-17,Montelukast,Medicine,8,197.01,1576.08,289.86
2021-10-25,Paracetamol,Medicine,7,10.0,70.0,8.74
2021-04-13,Ibuprofen,Medicine,5,20.0,100.0,16.95
2021-09-13,Ibuprofen,Medicine,5,20.0,100.0,12.84
2022-02-28,Paracetamol,Medicine,3,10.0,30.0,5.16
2021-10-17,Face Mask,Hygiene,5,15.0,75.0,13.28
2023-09-23,Ibuprofen,Medicine,1,20.0,20.0,16.4
2024-04-19,Toothpaste,Hygiene,3,81.02,243.06,249.98
2023-07-20,Deodorant,Hygiene,7,200.0,1400.0,174.53
2022-10-02,Protein Powder,Wellness,10,500.0,5000.0,340.97
2023-09-21,Protein Powder,Wellness,7,500.0,3500.0,373.23
2023-09-08,Hand Sanitizer,Hygiene,4,100.0,400.0,68.23
2024-08-08,Antacid,Medicine,1,40.86,40.86,69.2
2023-08-21,Antacid,Medicine,7,25.0,175.0,21.52
2023-10-20,Face Mask,Hygiene,6,15.0,90.0,10.54
2022-03-22,Protein Powder,Wellness,7,500.0,3500.0,385.49
2024-04-03,Omeprazole,Medicine,1,448.97,448.97,38.33
2021-03-08,Ibuprofen,Medicine,9,20.0,180.0,11.56
2024-10-11,Ibuprofen,Medicine,8,304.47,2435.76,53.87
2023-08-08,Paracetamol,Medicine,8,10.0,80.0,6.13
2023-11-18,Hand Sanitizer,Hygiene,2,100.0,200.0,72.35
2023-04-28,Hand Sanitizer,Hygiene,1,100.0,100.0,89.83
2024-01-04,Ramipril,Medicine,4,36.78,147.12,228.73
2021-11-11,Hand Sanitizer,Hygiene,9,100.0,900.0,58.76
2024-02-02,Antacid,Medicine,10,40.86,408.6,69.2
2023-09-09,Multivitamin,Wellness,3,50.0,150.0,41.93
2024-08-02,Antacid,Medicine,2,40.86,81.72,69.2
2024-03-28,Fluconazole,Medicine,5,386.74,1933.7,249.26
2021-10-30,Antacid,Medicine,9,25.0,225.0,16.5
2022-08-17,Protein Powder,Wellness,9,500.0,4500.0,313.65
2022-06-07,Protein Powder,Wellness,6,500.0,3000.0,355.11
2024-05-16,Gliclazide,Medicine,4,262.4,1049.6,221.17
2024-04-01,Gabapentin,Medicine,4,117.3,469.2,168.93
2024-07-30,Doxycycline,Medicine,5,336.84,1684.1999999999998,249.52
2023-04-06,Hand Sanitizer,Hygiene,2,100.0,200.0,71.33
2022-01-29,Protein Powder,Wellness,6,500.0,3000.0,298.32
2021-09-06,Face Mask,Hygiene,7,15.0,105.0,9.04
2022-10-19,Ibuprofen,Medicine,8,20.0,160.0,11.92
2021-10-16,Paracetamol,Medicine,3,10.0,30.0,8.61
2022-05-07,Cough Syrup,Medicine,5,80.0,400.0,43.19
2023-09-28,Cough Syrup,Medicine,6,80.0,480.0,57.43
2024-02-21,Cough Syrup,Medicine,4,199.94,799.76,240.66
2023-06-05,Protein Powder,Wellness,1,500.0,500.0,310.72
2024-12-06,Erythromycin,Medicine,1,45.49,45.49,230.37
2022-04-21,Face Mask,Hygiene,10,15.0,150.0,12.3
2023-07-25,Antacid,Medicine,2,25.0,50.0,18.39
2023-10-29,Ibuprofen,Medicine,8,20.0,160.0,15.92
2023-03-30,Hand Sanitizer,Hygiene,10,100.0,1000.0,89.29
2022-06-07,Antacid,Medicine,10,25.0,250.0,15.53
2023-08-12,Hand Sanitizer,Hygiene,10,100.0,1000.0,57.33
2021-09-01,Cough Syrup,Medicine,3,80.0,240.0,47.21
2024-06-20,Protein Powder,Wellness,4,114.35,457.4,141.55
2022-10-18,Antacid,Medicine,9,25.0,225.0,17.37
2024-03-24,Paracetamol,Medicine,10,294.5,2945.0,206.24
2021-11-24,Deodorant,Hygiene,7,200.0,1400.0,131.71
2021-05-26,Paracetamol,Medicine,1,10.0,10.0,5.37
2021-08-14,Face Mask,Hygiene,5,15.0,75.0,8.33
2022-12-03,Face Mask,Hygiene,7,15.0,105.0,11.26
2024-11-12,Prednisolone,Medicine,3,475.12,1425.36,196.15
2021-05-11,Antacid,Medicine,2,25.0,50.0,13.86
2023-10-03,Deodorant,Hygiene,8,200.0,1600.0,157.48
2024-10-03,Ramipril,Medicine,1,36.78,36.78,228.73
2023-11-02,Sunscreen,Hygiene,8,150.0,1200.0,118.63
2021-04-26,Sunscreen,Hygiene,8,150.0,1200.0,85.98
2023-11-21,Cough Syrup,Medicine,4,80.0,320.0,46.19
2024-10-08,Ibuprofen,Medicine,8,304.47,2435.76,53.87
2022-07-04,Paracetamol,Medicine,8,10.0,80.0,7.95
2023-12-27,Face Mask,Hygiene,3,15.0,45.0,11.46
2022-06-19,Deodorant,Hygiene,6,200.0,1200.0,150.55
2021-12-09,Paracetamol,Medicine,1,10.0,10.0,7.72
2023-04-12,Sunscreen,Hygiene,5,150.0,750.0,96.55
2024-10-12,Hand Sanitizer,Hygiene,8,109.07,872.56,64.49
2022-10-29,Antacid,Medicine,2,25.0,50.0,18.95
2023-01-31,Deodorant,Hygiene,3,200.0,600.0,172.62
2022-08-03,Antacid,Medicine,3,25.0,75.0,18.22
2023-05-01,Paracetamol,Medicine,9,10.0,90.0,6.13
2022-05-06,Hand Sanitizer,Hygiene,4,100.0,400.0,70.75
2024-03-17,Sitagliptin,Medicine,8,113.65,909.2,183.22
2023-07-19,Cough Syrup,Medicine,4,80.0,320.0,67.83
2021-03-27,Sunscreen,Hygiene,1,150.0,150.0,122.35
2021-05-10,Multivitamin,Wellness,2,50.0,100.0,27.18
2022-04-26,Face Mask,Hygiene,5,15.0,75.0,9.5
2024-09-23,Zinc Tablets,Wellness,2,427.14,854.28,118.87
2021-05-26,Protein Powder,Wellness,4,500.0,2000.0,281.68
2021-10-01,Antacid,Medicine,10,25.0,250.0,15.42
2022-12-30,Protein Powder,Wellness,6,500.0,3000.0,398.31
2024-12-13,Cetirizine,Medicine,5,375.04,1875.2,224.87
2024-05-10,Zinc Tablets,Wellness,2,427.14,854.28,118.87
2024-04-05,Cough Syrup,Medicine,6,199.94,1199.64,240.66
2021-12-30,Multivitamin,Wellness,5,50.0,250.0,32.86
2023-05-19,Deodorant,Hygiene,8,200.0,1600.0,117.45
2022-05-24,Multivitamin,Wellness,7,50.0,350.0,32.27
2024-10-23,Levothyroxine,Medicine,9,271.21,2440.89,97.91
2021-11-09,Antacid,Medicine,10,25.0,250.0,12.64
2022-12-27,Deodorant,Hygiene,8,200.0,1600.0,153.88
2024-07-30,Gabapentin,Medicine,5,117.3,586.5,168.93
2024-05-19,Azithromycin,Medicine,7,207.22,1450.54,176.34
2024-03-27,Cetirizine,Medicine,5,375.04,1875.2,224.87
2023-12-23,Hand Sanitizer,Hygiene,7,100.0,700.0,84.21
2021-07-17,Paracetamol,Medicine,4,10.0,40.0,8.68
2021-07-31,Ibuprofen,Medicine,5,20.0,100.0,14.97
2024-09-28,Atorvastatin,Medicine,9,208.92,1880.28,133.07
2021-03-24,Ibuprofen,Medicine,6,20.0,120.0,15.62
2021-11-19,Antacid,Medicine,6,25.0,150.0,16.37
2024-11-17,Sunscreen,Hygiene,7,176.57,1235.99,79.85
2022-04-30,Protein Powder,Wellness,6,500.0,3000.0,397.86
2022-01-11,Sunscreen,Hygiene,8,150.0,1200.0,111.84
2022-02-11,Hand Sanitizer,Hygiene,6,100.0,600.0,82.68
2021-08-12,Sunscreen,Hygiene,4,150.0,600.0,105.44
2023-09-23,Sunscreen,Hygiene,5,150.0,750.0,107.21
2023-09-17,Face Mask,Hygiene,7,15.0,105.0,11.62
2024-07-31,Pantoprazole,Medicine,6,25.85,155.10000000000002,72.35
2023-10-24,Deodorant,Hygiene,4,200.0,800.0,167.13
2023-11-18,Protein Powder,Wellness,3,500.0,1500.0,323.7
2023-07-09,Face Mask,Hygiene,2,15.0,30.0,13.21
2023-05-16,Sunscreen,Hygiene,5,150.0,750.0,120.91
2023-02-01,Antacid,Medicine,10,25.0,250.0,13.63
2021-05-21,Multivitamin,Wellness,2,50.0,100.0,41.6
2024-07-16,Pantoprazole,Medicine,9,25.85,232.65,72.35
2023-09-23,Face Mask,Hygiene,5,15.0,75.0,8.37
2024-04-16,Salbutamol,Medicine,8,369.3,2954.4,161.82
2021-12-28,Face Mask,Hygiene,8,15.0,120.0,13.06
2023-07-18,Multivitamin,Wellness,4,50.0,200.0,44.52
2021-12-11,Multivitamin,Wellness,4,50.0,200.0,26.6
2021-02-14,Deodorant,Hygiene,8,200.0,1600.0,146.04
2024-01-24,Clarithromycin,Medicine,10,375.57,3755.7,69.74
2023-01-28,Multivitamin,Wellness,10,50.0,500.0,36.93
2021-09-28,Ibuprofen,Medicine,1,20.0,20.0,12.99
2024-02-12,Budesonide,Medicine,2,78.76,157.52,193.42
2022-09-08,Ibuprofen,Medicine,10,20.0,200.0,17.45
2022-12-30,Cough Syrup,Medicine,10,80.0,800.0,68.89
2022-01-08,Cough Syrup,Medicine,2,80.0,160.0,61.37
2021-04-29,Ibuprofen,Medicine,10,20.0,200.0,16.53
2022-06-03,Deodorant,Hygiene,6,200.0,1200.0,109.18
2022-05-13,Cough Syrup,Medicine,4,80.0,320.0,47.31
2021-11-19,Protein Powder,Wellness,7,500.0,3500.0,401.61
2021-12-27,Ibuprofen,Medicine,2,20.0,40.0,10.72
2022-06-03,Paracetamol,Medicine,2,10.0,20.0,5.49
2021-12-21,Paracetamol,Medicine,9,10.0,90.0,6.4
2023-10-16,Multivitamin,Wellness,3,50.0,150.0,32.85
2021-07-17,Hand Sanitizer,Hygiene,6,100.0,600.0,89.34
2023-01-15,Cough Syrup,Medicine,7,80.0,560.0,56.99
2024-11-03,Pantoprazole,Medicine,9,25.85,232.65,72.35
2024-04-10,Cetirizine,Medicine,9,375.04,3375.36,224.87
2021-06-03,Antacid,Medicine,4,25.0,100.0,14.46
2024-12-06,Deodorant,Hygiene,5,141.21,706.0500000000001,115.99
2024-05-12,Gabapentin,Medicine,5,117.3,586.5,168.93
2022-03-30,Ibuprofen,Medicine,8,20.0,160.0,17.73
2021-12-12,Hand Sanitizer,Hygiene,2,100.0,200.0,81.84
2022-01-04,Multivitamin,Wellness,6,50.0,300.0,31.35
2022-06-21,Antacid,Medicine,4,25.0,100.0,22.02
2023-06-25,Cough Syrup,Medicine,3,80.0,240.0,60.2
2024-09-01,Ibuprofen,Medicine,8,304.47,2435.76,53.87
2021-11-06,Multivitamin,Wellness,10,50.0,500.0,40.82
2023-05-29,Antacid,Medicine,7,25.0,175.0,19.21
2021-01-26,Multivitamin,Wellness,8,50.0,400.0,25.18
2021-01-14,Sunscreen,Hygiene,5,150.0,750.0,87.66
